[PC Connell (IRE), 20, 54.79, 8.000, 0.00000]
[DR Hadlee (NZ), 8, 47.05, 5.714, 0.00000]
[Khaliq Dad (AFG), 13.33, 57.97, 10.000, 0.00000]
[S Lamichhane (NEPAL), 10, 57.97, 8.000, 0.00000]
[Mohammad Nadeem (OMAN), 20, 44.94, 13.333, 0.00000]
[ML Patel (KENYA), 13.33, 42.1, 13.333, 0.00000]
[SJ Rixon (AUS), 13.33, 40.81, 6.667, 0.00000]
[DJ ter Braak (NL), 20, 42.55, 20.000, 0.00000]
[MR Whitney (AUS), 6.66, 44.44, 3.077, 0.00000]
[GA Briant (ZIM), 13, 56.52, 7.800, 0.00000]
[YS Chahal (INDIA), 7.8, 54.16, 4.875, 0.00000]
[SS Das (INDIA), 13, 50.64, 9.750, 0.00000]
[KSC de Silva (SL), 6.5, 42.39, 2.053, 0.00000]
[DR Gilbert (AUS), 7.8, 38.23, 4.875, 0.00000]
[Iqbal Qasim (PAK), 6.5, 43.33, 5.571, 0.00000]
[N Kruger (NL), 19.5, 52, 19.500, 0.00000]
[GD Lloyd (ENG), 9.75, 48.75, 7.800, 0.00000]
[LS Pascoe (AUS), 9.75, 38.23, 3.545, 0.00000]
[RH Scholte (NL), 7.8, 28.88, 7.800, 0.00000]
[A Shahzad (ENG), 6.5, 65, 4.875, 0.00000]
[Zulfiqar Ali (EAf), 19.5, 51.31, 13.000, 0.00000]
[CJD Chappell (CAN), 12.66, 26.57, 12.667, 0.00000]
[PP Chawla (INDIA), 5.42, 65.51, 3.167, 0.00000]
[CKB Kulasekara (SL), 12.66, 52.77, 12.667, 0.00000]
[Mohammad Aslam (UAE), 9.5, 52.05, 9.500, 0.00000]
[Najeeb Amar (HKG), 12.66, 59.37, 9.500, 0.00000]
[S Walusimbi (EAf), 12.66, 30.15, 12.667, 0.00000]
[PN Webb (NZ), 9.5, 37.62, 7.600, 0.00000]
[Zeeshan Maqsood (OMAN), 9.5, 51.35, 7.600, 0.00000]
[MP Jarvis (ZIM), 18.5, 55.22, 7.400, 0.00000]
[DJ White (NZ), 12.33, 38.14, 12.333, 0.00000]
[Ankur Vasishta (HKG), 12, 52.17, 9.000, 0.00000]
[PW Gunaratne (SL), 7.2, 57.14, 4.500, 0.00000]
[MF Malone (AUS), 9, 57.14, 5.143, 0.00000]
[G Mylvaganam (UAE), 12, 39.13, 12.000, 0.00000]
[AR Pitcher (BMUDA), 9, 40.44, 9.000, 0.00000]
[Saleem Jaffar (PAK), 18, 49.31, 2.769, 0.00000]
[LO Tikolo (KENYA), 0, 48, 18.000, 0.00000]
[JO Troughton (ENG), 9, 47.36, 7.200, 0.00000]
[B Bhandari (NEPAL), 11.66, 45.45, 11.667, 0.00000]
[PKD Chase (IRE), 3.5, 62.5, 2.188, 0.00000]
[H Durham (BMUDA), 8.75, 33.33, 5.000, 0.00000]
[G Dymock (AUS), 11.66, 42.68, 5.000, 0.00000]
[C McAuslan (HKG), 17.5, 48.61, 17.500, 0.00000]
[Nazmul Hossain (BDESH), 4.37, 27.34, 1.667, 0.00000]
[JO Ngoche (KENYA), 5, 41.17, 3.182, 0.00000]
[KT Sandher (CAN), 5.83, 32.71, 3.500, 0.00000]
[SM Warnapura (SL), 11.66, 46.05, 11.667, 0.00000]
[RP Alexander (USA), 17, 45.33, 17.000, 0.00000]
[Ata-ur-Rehman (PAK), 4.85, 44.73, 2.615, 0.00000]
[RO Collinge (NZ), 5.66, 54.83, 3.778, 0.00000]
[RMS Eranga (SL), 11.33, 53.12, 3.091, 0.00000]
[BN French (ENG), 6.8, 47.88, 4.250, 0.00000]
[M Mbangwa (ZIM), 4.85, 60.71, 2.615, 0.00000]
[Mohammad Asif (Asia/PAK), 3.77, 34, 2.125, 0.00000]
[CG Rackemann (AUS), 2.83, 44.15, 1.889, 0.00000]
[TT Smart (HKG), 17, 36.17, 17.000, 0.00000]
[T Gibbons (BMUDA), 16.5, 33.67, 16.500, 0.00000]
[LWS Kaluperuma (SL), 0, 55, 11.000, 0.00000]
[RJ McCurdy (AUS), 8.25, 46.47, 5.500, 0.00000]
[AS Wassan (INDIA), 8.25, 58.92, 5.500, 0.00000]
[TM Alderman (AUS), 2.66, 32.98, 1.778, 0.00000]
